CustomerID,freq,freq_3m,latetime,earlytime,target,cutoff_date
13503.0,3,0,105,287,0,2010-12-01
17165.0,2,1,7,354,1,2010-12-01
14857.0,3,2,68,260,0,2010-12-01
12525.0,2,0,124,273,0,2010-12-01
15938.0,4,1,82,182,1,2010-12-01
12989.0,8,4,50,355,3,2010-12-01
12701.0,3,0,155,259,0,2010-12-01
15039.0,31,14,1,355,13,2010-12-01
16960.0,4,3,16,273,0,2010-12-01
17287.0,6,4,13,362,2,2010-12-01
13544.0,3,1,37,270,0,2010-12-01
14202.0,2,1,7,250,0,2010-12-01
18226.0,14,6,4,270,1,2010-12-01
15711.0,1,0,182,310,0,2010-12-01
16668.0,6,3,13,257,1,2010-12-01
18223.0,6,3,13,361,4,2010-12-01
14227.0,4,2,40,295,1,2010-12-01
16884.0,1,0,182,196,0,2010-12-01
14680.0,14,7,5,361,5,2010-12-01
16518.0,2,1,47,182,1,2010-12-01
15135.0,1,0,182,182,0,2010-12-01
16347.0,4,3,14,263,0,2010-12-01
16746.0,13,7,9,361,3,2010-12-01
15980.0,4,0,116,182,0,2010-12-01
15858.0,4,1,54,355,2,2010-12-01
13869.0,4,2,7,317,2,2010-12-01
15670.0,1,0,182,182,1,2010-12-01
13110.0,2,1,63,364,1,2010-12-01
18038.0,1,0,182,182,0,2010-12-01
13719.0,5,1,19,197,0,2010-12-01
13777.0,16,10,20,363,14,2010-12-01
14740.0,4,3,35,278,0,2010-12-01
17848.0,9,5,43,359,3,2010-12-01
15623.0,4,1,19,355,0,2010-12-01
17745.0,2,0,103,181,0,2010-12-01
13472.0,2,1,89,181,0,2010-12-01
15715.0,3,0,181,245,0,2010-12-01
17377.0,28,14,4,363,5,2010-12-01
17511.0,19,11,6,363,6,2010-12-01
15246.0,1,0,181,181,1,2010-12-01
14961.0,9,6,5,361,3,2010-12-01
18231.0,9,2,32,324,1,2010-12-01
15887.0,3,2,32,181,0,2010-12-01
17241.0,5,2,11,288,0,2010-12-01
15714.0,3,1,79,181,0,2010-12-01
14110.0,9,2,61,364,0,2010-12-01
14527.0,28,17,0,363,14,2010-12-01
16565.0,3,1,32,181,1,2010-12-01
17321.0,3,2,20,203,0,2010-12-01
16401.0,11,5,5,181,2,2010-12-01
14298.0,23,12,1,354,14,2010-12-01
12437.0,13,10,21,363,4,2010-12-01
16467.0,3,0,134,363,0,2010-12-01
13916.0,3,1,89,301,0,2010-12-01
13047.0,8,2,40,349,4,2010-12-01
15305.0,1,0,181,181,0,2010-12-01
15311.0,48,32,1,364,26,2010-12-01
16549.0,19,10,23,247,1,2010-12-01
12677.0,1,0,181,292,0,2010-12-01
17742.0,5,2,54,364,1,2010-12-01
17096.0,7,3,9,181,0,2010-12-01
13694.0,24,10,6,361,10,2010-12-01
15838.0,12,10,6,350,2,2010-12-01
15389.0,2,1,26,307,0,2010-12-01
12681.0,12,8,4,352,6,2010-12-01
14033.0,1,0,181,181,0,2010-12-01
17845.0,1,0,181,202,0,2010-12-01
16896.0,1,0,181,181,0,2010-12-01
14282.0,8,5,7,288,1,2010-12-01
17961.0,22,9,19,364,7,2010-12-01
17841.0,40,20,2,363,22,2010-12-01
15812.0,3,1,61,350,1,2010-12-01
17730.0,6,3,8,215,2,2010-12-01
14739.0,9,5,30,363,2,2010-12-01
14136.0,2,1,26,357,0,2010-12-01
13131.0,3,1,44,294,0,2010-12-01
12682.0,11,6,11,364,5,2010-12-01
16722.0,5,2,14,362,3,2010-12-01
14624.0,3,1,41,230,0,2010-12-01
17356.0,1,0,180,314,1,2010-12-01
14646.0,46,34,0,363,10,2010-12-01
14859.0,1,0,180,180,0,2010-12-01
13798.0,27,16,1,357,11,2010-12-01
17460.0,5,3,12,312,3,2010-12-01
14970.0,4,1,35,289,1,2010-12-01
15502.0,2,1,64,180,3,2010-12-01
17157.0,6,0,106,361,0,2010-12-01
14606.0,53,26,1,362,26,2010-12-01
16279.0,5,2,11,222,0,2010-12-01
15727.0,6,2,13,310,2,2010-12-01
15768.0,7,0,102,362,0,2010-12-01
12838.0,6,5,13,218,1,2010-12-01
14911.0,126,80,1,364,23,2010-12-01
16955.0,1,0,180,303,3,2010-12-01
15950.0,4,2,1,308,1,2010-12-01
12874.0,2,1,11,180,0,2010-12-01
17216.0,1,0,180,180,0,2010-12-01
14085.0,8,4,0,357,6,2010-12-01
13787.0,2,1,84,320,1,2010-12-01
13901.0,7,1,0,329,1,2010-12-01
16430.0,5,4,7,307,0,2010-12-01
14156.0,54,33,4,364,7,2010-12-01
12877.0,6,3,27,316,3,2010-12-01
13031.0,5,2,33,180,0,2010-12-01
12823.0,8,4,20,305,2,2010-12-01
16892.0,1,0,180,357,0,2010-12-01
12583.0,7,4,11,359,3,2010-12-01
14426.0,5,2,29,271,2,2010-12-01
16202.0,4,2,43,363,1,2010-12-01
14492.0,6,2,56,245,0,2010-12-01
12835.0,13,3,53,362,0,2010-12-01
15867.0,6,3,0,351,6,2010-12-01
12748.0,84,56,1,361,44,2010-12-01
14713.0,5,3,5,362,3,2010-12-01
17683.0,3,1,11,180,0,2010-12-01
17675.0,20,11,6,355,6,2010-12-01
17290.0,4,2,7,352,0,2010-12-01
16798.0,1,0,180,355,0,2010-12-01
17107.0,3,1,23,303,0,2010-12-01
13230.0,12,5,2,257,4,2010-12-01
18214.0,4,0,156,180,0,2010-12-01
12643.0,4,3,11,237,1,2010-12-01
17438.0,3,1,70,267,0,2010-12-01
16130.0,2,1,48,243,0,2010-12-01
12675.0,1,0,179,204,0,2010-12-01
15731.0,1,0,179,179,0,2010-12-01
14486.0,2,0,137,179,0,2010-12-01
13715.0,9,2,21,264,4,2010-12-01
15547.0,9,3,2,359,4,2010-12-01
14436.0,1,0,179,179,0,2010-12-01
16754.0,14,3,26,267,1,2010-12-01
12523.0,7,4,0,358,2,2010-12-01
16470.0,5,2,22,354,1,2010-12-01
13995.0,5,2,5,347,0,2010-12-01
14902.0,2,1,21,179,0,2010-12-01
16779.0,12,5,4,362,6,2010-12-01
13443.0,2,1,74,303,0,2010-12-01
17696.0,14,7,8,355,2,2010-12-01
18206.0,1,0,179,179,0,2010-12-01
16705.0,9,7,26,356,3,2010-12-01
15101.0,3,0,141,216,1,2010-12-01
13564.0,20,8,14,363,2,2010-12-01
17147.0,2,1,78,323,1,2010-12-01
17677.0,14,7,25,349,6,2010-12-01
16133.0,19,13,2,244,2,2010-12-01
17888.0,9,5,0,344,2,2010-12-01
15544.0,5,1,32,306,3,2010-12-01
